,Player,Average Total Rebounds,Average Total Blocks,Average Total Points,Cluster
186,Marvin Bagley III,6.62,0.72,12.42,2
187,Mason Plumlee,7.0,0.82,8.5,2
188,Matt Bonner,0.9,0.0,2.5,1
189,Matt Costello,2.3,0.5,1.0,1
190,Maxi Kleber,3.3,0.7,4.4,1
191,Meyers Leonard,3.6,0.12,4.9,1
192,Mfiondu Kabengele,0.9,0.2,3.5,1
193,Micah Potter,3.0,0.3,4.0,1
194,Mike Muscala,2.9,0.39,5.48,1
195,Mike Tobey,1.5,0.0,1.0,1
196,Miles Plumlee,3.21,0.53,3.76,1
197,Miroslav Raduljica,1.0,0.0,1.6,1
198,Mitchell Robinson,8.0,1.77,7.8,2
199,Mo Bamba,5.31,1.21,6.51,1
200,Montrezl Harrell,5.25,0.76,12.49,2
201,Moritz Wagner,3.66,0.32,7.9,1
202,Moses Brown,3.73,0.39,3.9,1
203,Moussa Diabaté,2.25,0.25,2.65,1
204,Myles Turner,6.78,2.28,13.72,2
205,Nathan Knight,1.5,0.2,3.7,1
206,Nathan Mensah,2.6,0.6,1.3,1
207,Naz Reid,4.38,0.88,10.0,1
208,Nazr Mohammed,1.25,0.1,1.4,1
209,Neemias Queta,2.9,0.57,3.63,1
210,Nemanja Bjelica,4.1,0.4,6.1,1
211,Nenê,3.5,0.43,6.4,1
212,Nerlens Noel,5.48,1.19,6.08,1
213,Nic Claxton,6.56,1.5,8.82,2
214,Nick Richards,5.37,0.87,6.97,1
215,Nicolò Melli,3.0,0.4,6.6,1
216,Nikola Jokić,10.76,0.74,21.07,2
217,Nikola Peković,4.65,0.2,8.5,1
218,Nikola Vučević,10.74,0.88,18.93,2
219,Noah Vonleh,1.88,0.12,1.78,1
220,Norvel Pelle,1.9,0.66,2.12,1
221,Ognjen Kuzmić,1.1,0.1,1.3,1
222,Olivier Sarr,3.33,0.6,4.43,1
223,Omari Spellman,4.5,0.5,7.6,1
224,Omer Yurtseven,4.07,0.33,4.77,1
225,Onyeka Okongwu,5.8,1.1,8.22,2
226,Orlando Robinson,3.2,0.3,3.25,1
227,P.J. Washington,5.2,0.9,10.3,2
228,Pau Gasol,6.96,0.98,8.9,2
229,Paul Millsap,3.25,0.35,3.55,1
230,Paul Reed,4.07,0.7,4.87,1
231,Pero Antić,3.0,0.2,5.7,1
232,Precious Achiuwa,5.97,0.53,8.67,1
233,Ray Spalding,2.0,1.0,2.0,1
234,Richaun Holmes,5.41,0.9,8.49,1
235,Robert Covington,8.0,2.2,11.6,2
236,Robert Sacre,3.2,0.5,4.05,1
237,Robert Williams,6.33,1.52,6.75,2
238,Robin Lopez,4.02,0.85,7.72,1
239,Ronny Turiaf,0.5,0.0,0.0,1
240,Roy Hibbert,3.98,1.08,5.6,1
