,Player,Average Total Blocks,Average Assists,Average Total Points,Cluster
183,Joe Johnson,0.1,2.52,9.54,1
184,Joe Wieskamp,0.0,0.3,1.0,2
185,John Holland,0.05,0.1,1.15,2
186,John Konchar,0.6,1.7,4.7,2
187,John Salmons,0.2,0.6,2.0,2
188,Jonathan Kuminga,0.3,0.9,9.3,2
189,Jonathon Simmons,0.1,2.2,5.5,2
190,Jordan Hall,0.0,1.2,3.1,2
191,Jordan Hamilton,0.15,1.4,7.05,2
192,Jordan Miller,0.0,0.0,1.6,2
193,Jordan Nwora,0.25,1.1,7.62,2
194,Jordan Schakel,0.0,0.5,1.5,2
195,Jordan Walsh,0.1,0.6,1.7,2
196,Josh Giddey,0.4,6.4,12.5,1
197,Josh Hall,0.0,1.3,4.1,2
198,Josh Hart,0.34,3.12,9.68,1
199,Josh Jackson,0.42,1.2,8.38,2
200,Josh Minott,0.3,0.3,2.35,2
201,Josh Reaves,0.0,0.8,2.0,2
202,Josh Richardson,0.9,2.9,12.9,1
203,Joshua Primo,0.5,1.6,5.8,2
204,Juan Toscano-Anderson,0.15,1.18,2.7,2
205,Julian Champagnie,0.3,0.7,5.93,2
206,Julian Phillips,0.2,0.3,2.2,2
207,Julian Strawther,0.1,0.9,4.5,2
208,Julian Washburn,0.1,0.8,2.2,2
209,Justin Anderson,0.3,1.11,5.69,2
210,Justin Champagnie,0.18,0.85,3.18,2
211,Justin Holiday,0.48,1.23,7.05,2
212,Justin Jackson,0.09,0.73,4.77,2
213,Justin James,0.2,0.55,3.2,2
214,Justin Minaya,0.8,0.8,3.05,2
215,Justise Winslow,0.35,2.85,9.18,1
216,K.J. McDaniels,0.33,0.3,3.83,2
217,KJ Martin,0.5,1.06,7.9,2
218,Kaiser Gates,0.0,0.0,0.0,2
219,Kawhi Leonard,0.7,3.53,22.82,1
220,Keegan Murray,0.65,1.45,13.7,1
221,Keita Bates-Diop,0.35,0.48,4.12,2
222,Kelan Martin,0.22,0.5,4.3,2
223,Keldon Johnson,0.22,2.1,15.32,1
224,Keljin Blevins,0.0,0.4,1.9,2
225,Kelly Oubre Jr.,0.54,1.08,13.64,1
226,Kenrich Williams,0.3,2.0,6.75,2
227,Kent Bazemore,0.5,1.65,8.57,1
228,Kessler Edwards,0.22,0.5,3.15,2
229,Kevin Durant,1.25,5.1,26.5,1
230,Kevin Huerter,0.4,2.7,12.1,1
