,Player,Average Total Rebounds,Average Total Blocks,Average Total Points,Cluster
241,Luka Šamanić,3.02,0.35,5.75,1
242,Luol Deng,6.0,0.4,12.3,2
243,Malcolm Thomas,3.3,0.1,2.6,1
244,Malik Fitts,1.1,0.0,1.27,1
245,Mamadi Diakite,2.05,0.35,2.85,1
246,Marcus Derrickson,1.2,0.1,4.2,1
247,Marcus Morris,4.21,0.31,11.17,2
248,Mario Hezonja,3.5,0.2,4.8,1
249,Markieff Morris,4.11,0.34,8.86,1
250,Marquese Chriss,4.49,0.71,6.39,1
251,Marvin Bagley III,7.25,0.57,13.22,2
252,Marvin Williams,5.01,0.64,8.66,2
253,Matt Bonner,1.6,0.2,3.7,1
254,Matthew Hurt,2.0,0.4,4.0,1
255,Maurice Harkless,3.45,0.6,6.2,1
256,Maurice Ndour,2.0,0.3,3.1,1
257,Maxi Kleber,4.63,0.9,6.88,2
258,Meyers Leonard,4.15,0.35,6.9,1
259,Mfiondu Kabengele,2.0,0.23,2.33,1
260,Micah Potter,2.5,0.2,3.35,1
261,Michael Beasley,3.98,0.5,10.24,2
262,Michael Foster Jr.,0.0,0.0,0.0,1
263,Michael Kidd-Gilchrist,3.07,0.37,3.87,1
264,Mike Muscala,3.3,0.57,6.07,1
265,Mike Scott,3.01,0.16,6.01,1
266,Miles Bridges,6.5,0.8,16.45,2
267,Mirza Teletović,3.32,0.25,8.55,1
268,Mitch McGary,3.05,0.3,3.8,1
269,Montrezl Harrell,1.7,0.3,3.6,1
270,Moses Wright,0.5,0.15,0.85,1
271,Mouhamadou Gueye,2.1,1.6,2.4,1
272,Mouhamed Gueye,3.7,0.7,4.0,1
273,Nassir Little,2.5,0.3,4.1,1
274,Nathan Knight,2.25,0.25,3.75,1
275,Naz Reid,5.2,0.9,13.5,2
276,Nemanja Bjelica,4.27,0.37,7.34,1
277,Nenê,4.8,0.4,10.1,2
278,Nick Collison,2.4,0.2,2.5,1
279,Nick Richards,0.6,0.0,0.8,1
280,Nicolas Batum,3.65,0.8,5.65,1
281,Nicolò Melli,2.7,0.05,3.0,1
282,Nikola Jović,3.15,0.2,6.6,1
283,Nikola Mirotić,6.31,0.71,13.19,2
284,Noah Clowney,3.5,0.7,5.8,1
285,Noah Vonleh,5.38,0.42,5.03,1
286,Obi Toppin,3.15,0.35,7.7,1
287,Okaro White,1.6,0.17,2.03,1
288,Olivier-Maxence Prosper,2.0,0.1,3.0,1
289,Omari Johnson,2.8,0.0,5.5,1
290,Omari Spellman,4.2,0.5,5.9,1
291,Omri Casspi,3.38,0.1,8.3,1
292,Oscar Tshiebwe,2.0,0.1,3.3,1
293,Oshae Brissett,3.4,0.2,6.1,1
294,Otto Porter Jr.,5.2,0.25,8.1,1
295,Ousmane Dieng,2.1,0.2,4.45,1
296,P.J. Tucker,4.67,0.37,4.67,1
297,P.J. Washington,5.66,0.94,13.22,2
298,Paolo Banchero,6.9,0.55,21.3,2
299,Pascal Siakam,6.63,0.6,18.13,2
300,Patrick Patterson,3.34,0.3,5.61,1
