,Player,Average Total Points,Average Steals,Average Turnovers,Average Assists,Cluster
146,Furkan Korkmaz,5.74,0.49,0.54,1.03,1
147,Gabe York,6.0,0.85,0.25,1.85,1
148,Gabriel Lundberg,3.3,0.8,0.8,2.8,1
149,Garrett Temple,6.26,0.81,0.82,1.59,1
150,Garrison Mathews,5.9,0.45,0.33,0.57,1
151,Gary Harris,10.69,1.06,1.05,1.92,2
152,Gary Neal,8.3,0.38,0.72,1.35,1
153,Gary Payton II,5.6,1.08,0.65,1.15,1
154,Gary Trent Jr.,13.88,1.08,0.72,1.38,2
155,George Hill,5.2,0.6,0.6,1.9,1
156,Gerald Green,10.52,0.57,0.92,0.78,1
157,Gerald Henderson,10.0,0.57,1.07,1.73,1
158,Gian Clavell,2.9,0.3,0.3,0.4,1
159,Giannis Antetokounmpo,12.7,0.9,2.1,2.6,2
160,Glen Rice Jr.,2.2,0.0,0.4,0.4,1
161,Glenn Robinson III,1.2,0.1,0.1,0.1,1
162,Goran Dragić,16.2,1.0,2.2,4.1,2
163,Gradey Dick,8.5,0.6,0.8,1.1,1
164,Grayson Allen,9.98,0.65,0.97,1.85,1
165,Hamidou Diallo,6.9,0.9,0.88,1.12,1
166,Hollis Thompson,6.98,0.62,0.6,1.08,1
167,Ian Clark,4.72,0.38,0.63,1.0,1
168,Iman Shumpert,6.09,0.9,1.04,1.55,1
169,Immanuel Quickley,14.95,0.75,1.1,2.95,2
170,Isaac Okoro,9.6,0.9,1.3,1.9,2
171,Isaiah Canaan,5.2,0.43,0.57,0.9,1
172,Isaiah Joe,6.25,0.48,0.42,0.9,1
173,Isaiah Thomas,8.1,0.4,1.5,1.9,1
174,Isaiah Wong,2.0,0.0,0.0,0.0,1
175,J.P. Macura,1.5,0.0,0.0,0.5,1
176,J.R. Smith,8.91,0.91,1.01,1.9,1
177,JD Davison,1.8,0.15,0.3,1.1,1
178,JJ Redick,13.91,0.44,1.15,1.8,1
179,Jabari Bird,3.0,0.2,0.6,0.6,1
180,Jabari Brown,11.9,0.6,1.7,2.1,2
181,Jacob Evans,2.0,0.2,0.43,0.63,1
182,Jaden Hardy,8.05,0.35,0.9,1.45,1
183,Jaden Ivey,15.85,0.75,2.85,4.5,2
184,Jaden Springer,2.42,0.45,0.5,0.52,1
185,Jahmi'us Ramsey,4.33,0.47,0.5,0.67,1
186,Jalen Brunson,16.3,0.8,1.6,4.8,2
187,Jalen Green,19.67,0.77,2.3,3.27,2
188,Jalen Harris,7.4,0.6,1.1,1.3,1
189,Jalen Hood-Schifino,1.6,0.1,0.4,0.4,1
190,Jalen Lecque,2.0,0.0,0.4,0.4,1
191,Jalen Pickett,1.6,0.1,0.3,0.8,1
192,Jalen Suggs,11.25,1.35,1.8,2.8,2
193,Jalen Williams,14.1,1.4,1.6,3.3,2
194,Jamaal Franklin,1.0,0.0,1.0,1.0,1
195,Jamal Crawford,10.92,0.55,1.18,2.72,2
196,Jamal Murray,9.9,0.6,1.4,2.1,1
197,Jamel Artis,5.1,0.1,0.5,1.2,1
198,James Anderson,3.5,0.4,0.8,0.8,1
199,James Bouknight,4.6,0.23,0.5,0.8,1
200,James Ennis III,8.5,0.6,1.4,1.1,1
201,James Harden,30.28,1.8,4.38,7.7,2
202,James Young,2.38,0.2,0.18,0.28,1
203,Jared Butler,5.05,0.55,1.05,2.35,1
204,Jared Cunningham,2.8,0.33,0.57,0.43,1
205,Jared Dudley,7.2,1.0,0.9,1.8,1
206,Jared Rhoden,4.05,0.25,0.3,0.55,1
207,Jared Terrell,2.2,0.2,0.7,0.9,1
208,Jarrett Culver,6.0,0.63,0.87,1.1,1
209,Jarron Cumberland,0.7,0.0,0.0,0.3,1
210,Jason Richardson,9.1,0.7,0.8,2.0,1
211,Jason Terry,5.08,0.75,0.68,1.45,1
212,Javonte Green,3.0,0.55,0.45,0.45,1
213,Jay Scrubb,6.0,0.73,1.23,0.4,1
214,Jaylen Brown,18.12,1.05,2.0,2.12,2
215,Jaylen Morris,2.63,0.27,0.53,0.97,1
216,Jaylen Nowell,7.55,0.38,0.6,1.58,1
217,Jeenathan Williams,6.75,0.4,0.5,1.15,1
218,Jeremy Lamb,10.44,0.74,0.84,1.65,1
219,Jeremy Lin,11.7,0.7,1.9,3.0,2
220,Jerian Grant,4.5,0.2,0.5,1.5,1
221,Jerome Robinson,4.4,0.4,0.66,1.08,1
222,Jerryd Bayless,9.15,0.75,1.3,2.25,2
223,Jimmer Fredette,2.57,0.27,0.53,0.53,1
224,Jimmy Butler,21.1,1.95,1.65,4.32,2
225,Jodie Meeks,8.04,0.48,0.62,1.1,1
226,Joe Harris,6.4,0.3,0.82,1.08,1
227,Joe Johnson,8.2,0.35,0.85,1.85,1
228,Joe Wieskamp,2.1,0.1,0.1,0.3,1
229,Joel Ayayi,0.3,0.0,0.0,0.6,1
230,John Jenkins,3.73,0.12,0.32,0.62,1
231,John Konchar,3.97,0.57,0.4,1.27,1
232,Johnny Davis,4.4,0.4,0.45,0.8,1
233,Johnny Juzang,6.0,0.2,0.45,0.8,1
234,Jonathon Simmons,8.25,0.55,1.38,1.88,1
235,Jordan Adams,3.3,1.0,0.75,1.0,1
236,Jordan Clarkson,16.05,0.76,1.82,2.8,2
237,Jordan Crawford,10.35,0.4,1.15,2.8,1
